"","x"
"896","TR24006|c0_g2"
"897","TR26593|c0_g1"
"898","TR11909|c0_g1"
"899","TR262|c0_g2"
"900","TR19684|c0_g1"
"901","TR3884|c0_g1"
"902","TR34352|c0_g1"
"903","TR14004|c2_g2"
"904","TR30858|c5_g1"
"905","TR10907|c0_g1"
"906","TR23883|c9_g1"
"907","TR32174|c0_g1"
"908","TR26935|c0_g1"
"909","TR11039|c19_g1"
"910","TR17542|c0_g2"
"911","TR16756|c0_g1"
"912","TR24006|c0_g1"
"913","TR18959|c0_g2"
"914","TR31441|c0_g1"
"915","TR9541|c0_g1"
"916","TR13993|c0_g1"
"917","TR21780|c1_g3"
"918","TR11184|c0_g1"
"919","TR15948|c1_g1"
"920","TR7175|c1_g1"
"921","TR10896|c1_g1"
"922","TR37058|c9_g1"
"923","TR31923|c11_g1"
"924","TR2726|c0_g1"
"925","TR39135|c0_g1"
"926","TR26432|c1_g2"
"927","TR32321|c0_g2"
"928","TR17947|c2_g1"
"929","TR9485|c8_g2"
"930","TR2204|c1_g3"
"931","TR14927|c3_g2"
